T,G_HR,value
T0001,HR_DC,88.59992565231184
T0002,HR_DC,88.59992565231184
T0003,HR_DC,88.59992565231184
T0004,HR_DC,88.59992565231184
T0005,HR_DC,88.59992565231184
T0006,HR_DC,88.59992565231184
T0007,HR_DC,88.59992565231184
T0008,HR_DC,88.59992565231184
T0009,HR_DC,88.59992565231184
T0010,HR_DC,88.59992565231184
T0011,HR_DC,88.59992565231184
T0012,HR_DC,88.59992565231184
T0013,HR_DC,88.59992565231184
T0014,HR_DC,88.59992565231184
T0015,HR_DC,88.59992565231184
T0016,HR_DC,88.59992565231184
T0017,HR_DC,88.59992565231184
T0018,HR_DC,88.59992565231184
T0019,HR_DC,88.59992565231184
T0020,HR_DC,88.59992565231184
T0021,HR_DC,88.59992565231184
T0022,HR_DC,88.59992565231184
T0023,HR_DC,88.59992565231184
T0024,HR_DC,88.59992565231184
T0025,HR_DC,88.59992565231184
T0026,HR_DC,88.59992565231184
T0027,HR_DC,88.59992565231184
T0028,HR_DC,88.59992565231184
T0029,HR_DC,88.59992565231184
T0030,HR_DC,88.59992565231184
T0031,HR_DC,88.59992565231184
T0032,HR_DC,88.59992565231184
T0033,HR_DC,88.59992565231184
T0034,HR_DC,88.59992565231184
T0035,HR_DC,88.59992565231184
T0036,HR_DC,88.59992565231184
T0037,HR_DC,88.59992565231184
T0038,HR_DC,88.59992565231184
T0039,HR_DC,88.59992565231184
T0040,HR_DC,88.59992565231184
T0041,HR_DC,88.59992565231184
T0042,HR_DC,88.59992565231184
T0043,HR_DC,88.59992565231184
T0044,HR_DC,88.59992565231184
T0045,HR_DC,88.59992565231184
T0046,HR_DC,88.59992565231184
T0047,HR_DC,88.59992565231184
T0048,HR_DC,88.59992565231184
T0049,HR_DC,88.59992565231184
T0050,HR_DC,88.59992565231184
T0051,HR_DC,88.59992565231184
T0052,HR_DC,88.59992565231184
T0053,HR_DC,88.59992565231184
T0054,HR_DC,88.59992565231184
T0055,HR_DC,88.59992565231184
T0056,HR_DC,88.59992565231184
T0057,HR_DC,88.59992565231184
T0058,HR_DC,88.59992565231184
T0059,HR_DC,88.59992565231184
T0060,HR_DC,88.59992565231184
T0061,HR_DC,88.59992565231184
T0062,HR_DC,88.59992565231184
T0063,HR_DC,88.59992565231184
T0064,HR_DC,88.59992565231184
T0065,HR_DC,88.59992565231184
T0066,HR_DC,88.59992565231184
T0067,HR_DC,88.59992565231184
T0068,HR_DC,88.59992565231184
T0069,HR_DC,88.59992565231184
T0070,HR_DC,88.59992565231184
T0071,HR_DC,88.59992565231184
T0072,HR_DC,88.59992565231184
T0073,HR_DC,88.59992565231184
T0074,HR_DC,88.59992565231184
T0075,HR_DC,88.59992565231184
T0076,HR_DC,88.59992565231184
T0077,HR_DC,88.59992565231184
T0078,HR_DC,88.59992565231184
T0079,HR_DC,88.59992565231184
T0080,HR_DC,88.59992565231184
T0081,HR_DC,88.59992565231184
T0082,HR_DC,88.59992565231184
T0083,HR_DC,88.59992565231184
T0084,HR_DC,88.59992565231184
T0085,HR_DC,88.59992565231184
T0086,HR_DC,88.59992565231184
T0087,HR_DC,88.59992565231184
T0088,HR_DC,88.59992565231184
T0089,HR_DC,88.59992565231184
T0090,HR_DC,88.59992565231184
T0091,HR_DC,88.59992565231184
T0092,HR_DC,88.59992565231184
T0093,HR_DC,88.59992565231184
T0094,HR_DC,88.59992565231184
T0095,HR_DC,88.59992565231184
T0096,HR_DC,88.59992565231184
T0097,HR_DC,88.59992565231184
T0098,HR_DC,88.59992565231184
T0099,HR_DC,88.59992565231184
T0100,HR_DC,88.59992565231184
T0101,HR_DC,88.59992565231184
T0102,HR_DC,88.59992565231184
T0103,HR_DC,88.59992565231184
T0104,HR_DC,88.59992565231184
T0105,HR_DC,88.59992565231184
T0106,HR_DC,88.59992565231184
T0107,HR_DC,88.59992565231184
T0108,HR_DC,88.59992565231184
T0109,HR_DC,88.59992565231184
T0110,HR_DC,88.59992565231184
T0111,HR_DC,88.59992565231184
T0112,HR_DC,88.59992565231184
T0113,HR_DC,88.59992565231184
T0114,HR_DC,88.59992565231184
